"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,のよい,を考えると,がよく,はありません,も良いと,の取れた,がよい,も良いです,は良好です,は思います,はいいと,が良いので,のとれた,は良い,が悪いと,はいいです,の高い,が悪く,は良く,もいいです,が高い,がいいと,も良い,を考えれば,が悪いです,もいい,がいいので,の悪い
weight,"",0.00176038429864206,0.001129191720965,0.000769097204950169,0.00067589533085597,0.00065013438252331,0.000585485323815549,0.000580101911480327,0.000549870590856201,0.000487456933058485,0.000443140374518793,0.000416855765608035,0.000408680591430594,0.000368645546195112,0.00035353626056848,0.000348342448829661,0.000345280372124502,0.000342013993141108,0.000309633291797623,0.00030031420387594,0.000294253675080482,0.000276808209351909,0.000268775145645355,0.00025089775107531,0.000246165921756349,0.000217890094227957,0.000208067313444338,0.000205382433388404,0.000204695616951287,0.000201235425327288,0.000196092643544823,0.000195405553002619,0.000180258692160222,0.000179708850241544,0.000176531633727089,0.000172643498345216,0.000166176734820694,0.000165995357712309,0.000146849398417461,0.000140448180036922,0.000136886933781639
音質,5.22424714793915e-05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
・画質,5.22285473320666e-05,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
表現力,5.21974177585708e-05,0,0,1,0,1,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
見た目,5.03078138600523e-05,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0
人,5.02895491509847e-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
画角,4.83201545026383e-05,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
雰囲気,4.78282918325731e-05,2,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールディング,4.54344174162764e-05,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ,4.50095783048007e-05,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
ファインダー,4.3900124438115e-05,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
利便性,4.26794491781421e-05,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0
フィーリング,4.20476509470331e-05,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0
サイズ,4.15613236891977e-05,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
