"",weight,の良い,が良い,が良く,が悪い,も良く,が良いです,は良いです,は良いと,がいいです,もよく,がいい,が良いと,のよい,を考えると,がよく,も良いと,はありません,の取れた,がよい,も良いです,は良好です,は思います,が良いので,はいいと,のとれた,が悪いと,は良い,の高い,はいいです,が悪く,は良く,がいいと,が高い,もいいです,も良い,を考えれば,が悪いです,の悪い,もいい,がいいので
weight,"",0.00040245669590686,0.000243443127248279,0.000166286867431295,0.000142934704429513,0.0001388476894094,0.000124275307111871,0.000124193459919311,0.000116209250028675,0.000105123265895551,9.56287130195092e-05,9.04109879747249e-05,8.77434598186006e-05,8.22262418531928e-05,7.52154933309554e-05,7.51413521657684e-05,7.33550986695595e-05,7.19963873717731e-05,6.70000546017568e-05,6.47650280137241e-05,6.22173002488712e-05,5.84068220526244e-05,5.64438507593455e-05,5.41481145640927e-05,5.36954033728964e-05,4.71481865716067e-05,4.48618274043002e-05,4.47120109208524e-05,4.34362838000893e-05,4.32356399478697e-05,4.26384601443494e-05,4.17360397318545e-05,3.81273240618213e-05,3.79912901544089e-05,3.76337706722494e-05,3.66010465773321e-05,3.53742645074052e-05,3.49946980215416e-05,3.38176823927415e-05,3.18427913103918e-05,3.00329352184142e-05
ボケ味,1.38501865406213e-05,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0
場合,1.31369578003217e-05,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
機種,1.30887337076842e-05,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
トータルバランス,1.29484592298832e-05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・操作性,1.28442426231986e-05,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能性,1.27309263633294e-05,0,0,1,0,0,0,3,3,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
程度,1.2431094854266e-05,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
完成度,1.2206047984198e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,11,0,0,0,0,0,0,0
電池持ち,1.2163916432036e-05,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
満足度,1.20078512070977e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,45,0,0,0,0,7,0,0,0,0,0,0,0
