"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,のよい,がよく,も良いと,を考えると,はありません,の取れた,がよい,も良いです,は良好です,は思います,が良いので,はいいと,のとれた,が悪いと,は良い,の高い,はいいです,が悪く,は良く,がいいと,が高い,もいいです,も良い,を考えれば,が悪いです,の悪い,もいい,がいいので
weight,"",8.83009663192344e-05,5.30007262404162e-05,3.61831372954762e-05,3.10403780988398e-05,3.02120070815785e-05,2.69268657259339e-05,2.68865285849589e-05,2.52256901513817e-05,2.28456898417175e-05,2.08027067743955e-05,1.96695818556357e-05,1.90982849960439e-05,1.7959720428727e-05,1.63468935252576e-05,1.59207150168143e-05,1.5829320582099e-05,1.56795918684821e-05,1.45796074964195e-05,1.41062692755087e-05,1.35157044694744e-05,1.26890532557684e-05,1.23291204084863e-05,1.1831068765633e-05,1.164384085845e-05,1.02597237937767e-05,9.77208065080046e-06,9.72645281132888e-06,9.46745329499179e-06,9.37402478453761e-06,9.2949097371958e-06,9.0811672510369e-06,8.33051073638389e-06,8.2392537912118e-06,8.12117791254397e-06,7.94947317592943e-06,7.65881110893463e-06,7.59746661989683e-06,7.43859569379813e-06,6.93592391412443e-06,6.54198401009624e-06
グリップ,2.1093871609609e-06,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
利便性,2.05934190910616e-06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0
ファインダー,2.03931688948001e-06,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
品,1.956390558193e-06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
フィーリング,1.93126330865838e-06,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
サイズ,1.9286443111272e-06,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0
自分,1.8956553727855e-06,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動画,1.87680714207545e-06,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
子供,1.84419621870408e-06,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
作り,1.82197739516623e-06,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
