"",weight,の高い,の良い,が良い,は高いです,が高い,が悪い,が良く,は高いと,も良く,は良いです,は良いと,はありません,が良いです,を考えると,に優れた,もよく,がいいです,がいい,が高いです,は思います,が良いと,がよく,がよい,も良いと,のよい,も良いです,が高く,は最高です,は高い,の取れた,が高いと,はいいと,は良好です,が良いので,はいいです,も高く,も良い,を考えれば,があります,は良い,はしました,もいいです,が高いので,のある,が悪いと,は良く,があり,が悪く,はあります,もありません,もいい,のとれた,はいいですね,は高く,は5です,は感じです,がいいと,がいいので,が悪いです,は抜群です,はします,も良いので,はありますが,は満点です,はありませんが,は最高だと,も高い,の悪い,がある,が良くて,も良好です,になります,があると,も満足しています,はあると,が弱いです,は悪いです,といい,がいいですね,はしましたが,が感じます,がよいです,は最高ですね,もいいですね,をする,も含めて,はあり,をしました,はよいと,もなく,は良いのですが,は思いますが,はよいです,は良いですね,にありません,が良くない,をします,はものです,は素晴らしいです,が悪いので
weight,"",0.000972528823674038,0.000734048020640545,0.000527123161886547,0.000429835670921507,0.000408885217435996,0.000358581919315145,0.000330523992338312,0.000320277403599239,0.000308753471039284,0.000308711328903354,0.00029341249006286,0.000264911028680898,0.000246941729502648,0.000233222302076734,0.000217649541627001,0.000213480409279096,0.000206729511779942,0.000194584323473806,0.000193118207871425,0.0001898812062744,0.000174563437607543,0.000158367341111158,0.000154853366289014,0.000153524701843485,0.000148107247110826,0.000147961235943984,0.000143515337817682,0.000137484539786982,0.000131335743668958,0.000128752226263825,0.00012672211257206,0.000120167174041908,0.000119777937363279,0.000115985752923929,0.000115101323265598,0.000114810053945315,0.000110080434433208,0.000108270430215834,0.000107554358237452,0.000104025474411519,9.87783328116725e-05,9.57372919080741e-05,9.38067843331187e-05,9.21058602650165e-05,9.13093263643278e-05,9.10202017713517e-05,8.80807311974032e-05,8.66818707837197e-05,8.64648734974277e-05,8.18505922292539e-05,7.86915204932049e-05,7.75984096779702e-05,7.47967997867344e-05,7.45770317838451e-05,7.43659397708293e-05,7.34330934938038e-05,7.32638904065622e-05,7.30805425742027e-05,7.28697419982417e-05,7.14871295308842e-05,6.54340391324705e-05,6.50808033402783e-05,6.50750371590158e-05,6.48995395491458e-05,6.119936778857e-05,6.08849947416013e-05,6.03442276332608e-05,5.96269672300482e-05,5.96173538446127e-05,5.83654624770975e-05,5.72757881057164e-05,5.58494851031957e-05,5.52384955559283e-05,5.43272081907347e-05,5.40676222739873e-05,5.34627841758623e-05,5.21333272687353e-05,5.19312763771614e-05,5.14372089846986e-05,5.07356014774375e-05,5.03176574835035e-05,5.01831075326562e-05,5.00652546237086e-05,4.8029639647848e-05,4.80170478410298e-05,4.76256176779909e-05,4.75205702526868e-05,4.74255626654103e-05,4.66418965823608e-05,4.64387434853039e-05,4.58863747648538e-05,4.56712883755153e-05,4.55814991964717e-05,4.55030960137172e-05,4.38739171724943e-05,4.31343674040442e-05,4.3057764765237e-05,4.18875502165047e-05,4.16830487209013e-05,4.12719054368895e-05
ホールド感,0.000456518542282173,0,3,3,1,1,5,5,0,6,14,4,9,2,0,0,5,1,1,0,4,1,1,0,0,0,4,1,0,0,0,0,0,9,3,2,0,1,1,1,7,2,3,0,0,0,1,2,3,3,5,3,0,0,0,0,3,1,1,0,4,3,4,0,1,2,0,0,0,0,1,2,0,1,2,0,0,1,2,0,2,1,1,0,0,0,0,2,0,1,0,3,2,2,1,2,2,0,0,0,0
完成度,0.000387761158811679,37,0,0,3,11,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
写り,0.000356094327432288,0,7,4,0,0,2,4,0,4,4,5,6,1,0,0,1,1,5,0,4,2,0,0,2,1,0,0,4,0,0,0,2,1,1,7,1,2,2,0,3,0,0,0,0,1,2,0,0,1,8,3,0,4,0,0,1,1,2,0,0,2,0,1,0,0,1,0,0,0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,18,0,2,2,2,0,1,0,0,0,2,0,17,3,1,0
デザイン,0.000328306845806035,0,1,7,0,0,0,3,0,7,2,11,0,2,0,0,1,0,1,0,11,1,1,1,4,0,2,0,2,0,0,0,6,1,2,3,0,2,0,0,2,1,3,0,1,0,0,0,0,2,1,2,0,0,1,1,5,1,0,0,0,3,0,4,1,2,1,0,0,0,0,0,1,0,1,5,0,0,1,4,0,0,0,1,0,0,2,5,0,3,0,2,3,1,2,0,0,0,0,0,0
評価,0.000250299388714628,12,1,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,14,0,0,0,1,1,0,0,0,2,3,0,0
解像度,0.00023688656144973,5,0,1,2,6,1,0,0,1,1,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,1,0,0,1,1,0,2,2,2,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,0,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
気持ち,0.000222318192865334,0,13,7,0,0,0,0,0,0,0,0,1,2,0,0,0,9,9,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
レンズ,0.000211093842162431,0,5,1,1,0,1,1,1,1,10,2,8,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,1,0,0,1,2,0,0,0,0,1,5,0,4,1,3,0,1,0,0,1,1,0,0,0,6,0,2,0,2,0,0,2,5,1,0,3,2,0,4,0,0,1,2,0,1,0,1,0,1,2,5,0,0,1,0,1,2,0,1,0,0,1,0,0
性能,0.000206741303007159,1,5,2,1,2,0,0,2,3,0,3,1,0,12,0,0,0,2,0,4,1,0,4,0,0,0,1,0,0,0,1,3,0,1,0,0,0,5,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,2,0,0,4,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0
価格,0.00019925609019825,0,0,0,1,9,0,0,3,0,0,0,0,0,45,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評判,0.000189506830947987,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
描写,0.000189111480842852,0,2,0,1,0,0,1,0,6,5,0,4,0,1,1,0,1,1,0,5,4,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,3,0,0,5,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,1,0,0,0,0,17,2,4,0,0,1,0,0,0,0,0,0,15,0,0,0
精度,0.000183143276572615,1,2,2,1,4,2,2,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,2,0,0,1,0,1,0,3,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
使用頻度,0.000182930864138579,10,0,0,2,11,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,0.000182686093174838,0,2,8,0,0,6,6,0,6,1,1,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
コントラスト,0.000174598547633304,11,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.00017214937671086,0,1,0,0,0,2,3,0,3,2,0,1,0,0,0,6,0,3,0,2,0,1,0,0,1,4,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,1,2,0,0,1,0,0,0,2,1,1,0,0,2,0,0,0,0,0,1,2,0,0,0
不満,0.000165988783592194,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,14,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,26,0,0,0,16,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
値段,0.00015125147054755,1,0,0,1,9,0,0,0,0,0,0,0,1,27,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,17,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
満足感,0.000142788041027154,7,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,0.000127766630748994,1,0,0,0,2,1,0,2,2,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,8,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
色乗り,0.000126837726233179,0,2,1,0,0,0,2,0,5,1,0,0,1,0,0,3,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,0.000110866221614978,1,1,0,1,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2
相性,0.000105494706632995,0,1,2,0,0,0,1,0,3,0,1,1,2,0,0,0,0,0,0,0,2,0,1,0,0,3,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
カメラ,0.000103808659308491,0,3,0,0,1,0,0,1,0,2,1,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,1,0,0,1,2,0,1,1,1,0,0,0,2,1,0,3,2,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,3,0,1,0,0,0,1,1,0
色のり,0.000100445915980721,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,6,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
機能,9.86536605902259e-05,0,0,3,1,0,1,0,0,0,0,1,4,0,8,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,1,0,0,10,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,4,0,6,0,0,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0
感触,9.85636045893729e-05,0,0,2,0,0,0,1,0,0,6,1,2,2,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
もち,9.81177585434717e-05,0,0,1,0,0,7,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
質,9.56418733312574e-05,2,4,0,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP,9.36787255663384e-05,4,0,2,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,9.27828041217861e-05,0,1,1,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0
描写力,9.23293909993623e-05,0,0,0,0,1,0,0,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,4,0,1,0,0,4,1,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
感じ,9.14769478267629e-05,0,0,4,0,0,0,0,0,0,3,1,6,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,5,0,1,2,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,2,0,0,22,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
機能性,9.04062879195002e-05,0,0,0,0,1,0,1,0,0,3,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,2,1,1,0,0,3,1,0,0,0,0,1,1,0
感度,8.81684596147452e-05,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,8.80109860597588e-05,0,0,1,0,1,2,4,0,0,2,0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,8.69887892146439e-05,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
視認性,8.4883819317122e-05,0,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
補正,8.14928597383675e-05,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,2,1,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,3,0,1,0,0,3,0,0,0,1,0,0,0,2,0,0
バッテリー,8.12074972621262e-05,0,0,1,0,1,0,0,0,0,5,1,9,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,0,6,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0
AF,7.51864512797111e-05,0,0,1,1,0,1,0,0,0,2,0,6,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,3,0,0,1,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
